2022-05-18/14:11:39		Reading training file
2022-05-19/16:46:21		Entered the readDataset method of the Preprocessor class
2022-05-19/16:46:21		Reading data is a success
2022-05-19/16:46:21		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:46:21		Finding missing values is a success
2022-05-19/16:46:21		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:46:21		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:46:21		Finding missing values is a success
2022-05-19/16:46:21		There are no null values, thus filling missing values is a success
2022-05-19/16:46:21		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:46:21		Finding outliers is a success
2022-05-19/16:46:21		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:46:21		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:46:21		Finding outliers is a success
2022-05-19/16:46:21		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:46:21		There are no outliers, thus replacing outliers is a success
2022-05-19/16:46:21		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:46:21		Creating New features is a success
2022-05-19/16:46:21		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:46:21		Entered the trainModel method of the Preprocessor class
2022-05-19/16:46:22		Training different models is a success
2022-05-19/16:46:23		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:46:23		Saving the best model
2022-05-19/16:46:23		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/16:46:23		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/16:46:55		Entered the readDataset method of the Preprocessor class
2022-05-19/16:46:55		Reading data is a success
2022-05-19/16:46:55		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:46:55		Finding missing values is a success
2022-05-19/16:46:55		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:46:55		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:46:55		Finding missing values is a success
2022-05-19/16:46:55		There are no null values, thus filling missing values is a success
2022-05-19/16:46:55		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:46:55		Finding outliers is a success
2022-05-19/16:46:55		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:46:55		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:46:55		Finding outliers is a success
2022-05-19/16:46:55		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:46:55		There are no outliers, thus replacing outliers is a success
2022-05-19/16:46:55		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:46:55		Creating New features is a success
2022-05-19/16:46:55		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:46:55		Entered the trainModel method of the Preprocessor class
2022-05-19/16:46:56		Training different models is a success
2022-05-19/16:46:57		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:46:57		Saving the best model
2022-05-19/16:46:57		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/16:46:57		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/16:47:18		Entered the readDataset method of the Preprocessor class
2022-05-19/16:47:18		Reading data is a success
2022-05-19/16:47:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:47:18		Finding missing values is a success
2022-05-19/16:47:18		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:47:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:47:18		Finding missing values is a success
2022-05-19/16:47:18		There are no null values, thus filling missing values is a success
2022-05-19/16:47:18		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:47:18		Finding outliers is a success
2022-05-19/16:47:18		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:47:18		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:47:18		Finding outliers is a success
2022-05-19/16:47:18		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:47:18		There are no outliers, thus replacing outliers is a success
2022-05-19/16:47:18		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:47:18		Creating New features is a success
2022-05-19/16:47:18		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:47:18		Entered the trainModel method of the Preprocessor class
2022-05-19/16:47:19		Training different models is a success
2022-05-19/16:47:19		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:47:19		Saving the best model
2022-05-19/16:47:19		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/16:47:19		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/16:48:39		Entered the readDataset method of the Preprocessor class
2022-05-19/16:48:39		Reading data is a success
2022-05-19/16:48:39		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:48:39		Finding missing values is a success
2022-05-19/16:48:39		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:48:39		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:48:39		Finding missing values is a success
2022-05-19/16:48:39		There are no null values, thus filling missing values is a success
2022-05-19/16:48:39		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:48:39		Finding outliers is a success
2022-05-19/16:48:39		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:48:39		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:48:39		Finding outliers is a success
2022-05-19/16:48:39		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:48:39		There are no outliers, thus replacing outliers is a success
2022-05-19/16:48:39		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:48:39		Creating New features is a success
2022-05-19/16:48:39		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:48:39		Entered the trainModel method of the Preprocessor class
2022-05-19/16:48:40		Training different models is a success
2022-05-19/16:48:41		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:48:41		Saving the best model
2022-05-19/16:48:41		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/16:48:41		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/16:57:35		Entered the readDataset method of the Preprocessor class
2022-05-19/16:57:35		Reading data is a success
2022-05-19/16:57:35		Entered the readDataset method of the Preprocessor class
2022-05-19/16:57:35		Reading data is a success
2022-05-19/16:57:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:57:35		Finding missing values is a success
2022-05-19/16:57:35		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/16:57:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/16:57:35		Finding missing values is a success
2022-05-19/16:57:35		There are no null values, thus filling missing values is a success
2022-05-19/16:57:35		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:57:35		Finding outliers is a success
2022-05-19/16:57:35		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/16:57:35		Entered the checkOutliers method of the Preprocessor class
2022-05-19/16:57:35		Finding outliers is a success
2022-05-19/16:57:35		Saving the plot of target data after replacing outliers is a success
2022-05-19/16:57:35		There are no outliers, thus replacing outliers is a success
2022-05-19/16:57:35		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:57:35		Creating New features is a success
2022-05-19/16:57:35		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/16:57:35		Creating New features is a success
2022-05-19/16:57:35		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/16:57:35		Entered the trainModel method of the Preprocessor class
2022-05-19/16:57:36		Training different models is a success
2022-05-19/16:57:37		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/16:57:37		Saving the best model
2022-05-19/16:57:37		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:11:14		Entered the readDataset method of the Preprocessor class
2022-05-19/17:11:14		Reading data is a success
2022-05-19/17:11:14		Entered the readDataset method of the Preprocessor class
2022-05-19/17:11:14		Reading data is a success
2022-05-19/17:11:14		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:11:14		Finding missing values is a success
2022-05-19/17:11:14		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:11:14		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:11:14		Finding missing values is a success
2022-05-19/17:11:14		There are no null values, thus filling missing values is a success
2022-05-19/17:11:14		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:11:14		Finding outliers is a success
2022-05-19/17:11:14		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:11:14		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:11:14		Finding outliers is a success
2022-05-19/17:11:14		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:11:14		There are no outliers, thus replacing outliers is a success
2022-05-19/17:11:14		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:11:14		Creating New features is a success
2022-05-19/17:11:14		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:11:14		Creating New features is a success
2022-05-19/17:11:14		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:11:14		Entered the trainModel method of the Preprocessor class
2022-05-19/17:11:16		Training different models is a success
2022-05-19/17:11:16		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:11:16		Saving the best model
2022-05-19/17:11:16		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:15:02		Entered the readDataset method of the Preprocessor class
2022-05-19/17:15:02		Reading data is a success
2022-05-19/17:15:02		Entered the readDataset method of the Preprocessor class
2022-05-19/17:15:02		Reading data is a success
2022-05-19/17:15:02		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:15:02		Finding missing values is a success
2022-05-19/17:15:02		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:15:02		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:15:02		Finding missing values is a success
2022-05-19/17:15:02		There are no null values, thus filling missing values is a success
2022-05-19/17:15:02		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:15:02		Finding outliers is a success
2022-05-19/17:15:02		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:15:02		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:15:02		Finding outliers is a success
2022-05-19/17:15:02		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:15:02		There are no outliers, thus replacing outliers is a success
2022-05-19/17:15:02		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:15:02		Creating New features is a success
2022-05-19/17:15:02		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:15:02		Creating New features is a success
2022-05-19/17:15:02		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:15:02		Entered the trainModel method of the Preprocessor class
2022-05-19/17:15:03		Training different models is a success
2022-05-19/17:15:04		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:15:04		Saving the best model
2022-05-19/17:15:04		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:18:33		Entered the readDataset method of the Preprocessor class
2022-05-19/17:18:33		Reading data is a success
2022-05-19/17:18:33		Entered the readDataset method of the Preprocessor class
2022-05-19/17:18:33		Reading data is a success
2022-05-19/17:18:33		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:18:33		Finding missing values is a success
2022-05-19/17:18:33		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:18:33		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:18:33		Finding missing values is a success
2022-05-19/17:18:33		There are no null values, thus filling missing values is a success
2022-05-19/17:18:33		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:18:33		Finding outliers is a success
2022-05-19/17:18:33		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:18:33		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:18:33		Finding outliers is a success
2022-05-19/17:18:33		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:18:33		There are no outliers, thus replacing outliers is a success
2022-05-19/17:18:33		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:18:33		Creating New features is a success
2022-05-19/17:18:33		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:18:33		Creating New features is a success
2022-05-19/17:18:33		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:18:33		Entered the trainModel method of the Preprocessor class
2022-05-19/17:18:35		Training different models is a success
2022-05-19/17:18:36		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:18:36		Saving the best model
2022-05-19/17:18:36		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:26:17		Entered the readDataset method of the Preprocessor class
2022-05-19/17:26:17		Reading data is a success
2022-05-19/17:26:18		Entered the readDataset method of the Preprocessor class
2022-05-19/17:26:18		Reading data is a success
2022-05-19/17:26:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:26:18		Finding missing values is a success
2022-05-19/17:26:18		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:26:18		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:26:18		Finding missing values is a success
2022-05-19/17:26:18		There are no null values, thus filling missing values is a success
2022-05-19/17:26:18		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:26:18		Finding outliers is a success
2022-05-19/17:26:18		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:26:18		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:26:18		Finding outliers is a success
2022-05-19/17:26:18		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:26:18		There are no outliers, thus replacing outliers is a success
2022-05-19/17:26:18		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:26:18		Creating New features is a success
2022-05-19/17:26:18		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:26:18		Creating New features is a success
2022-05-19/17:26:18		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:26:18		Entered the trainModel method of the Preprocessor class
2022-05-19/17:26:19		Training different models is a success
2022-05-19/17:26:20		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:26:20		Saving the best model
2022-05-19/17:26:20		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:27:57		Entered the readDataset method of the Preprocessor class
2022-05-19/17:27:57		Reading data is a success
2022-05-19/17:27:57		Entered the readDataset method of the Preprocessor class
2022-05-19/17:27:57		Reading data is a success
2022-05-19/17:27:57		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:27:57		Finding missing values is a success
2022-05-19/17:27:57		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:27:57		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:27:57		Finding missing values is a success
2022-05-19/17:27:57		There are no null values, thus filling missing values is a success
2022-05-19/17:27:57		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:27:57		Finding outliers is a success
2022-05-19/17:27:57		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:27:57		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:27:57		Finding outliers is a success
2022-05-19/17:27:57		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:27:57		There are no outliers, thus replacing outliers is a success
2022-05-19/17:27:57		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:27:57		Creating New features is a success
2022-05-19/17:27:57		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:27:57		Creating New features is a success
2022-05-19/17:27:57		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:27:57		Entered the trainModel method of the Preprocessor class
2022-05-19/17:27:59		Training different models is a success
2022-05-19/17:27:59		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:27:59		Saving the best model
2022-05-19/17:27:59		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:29:31		Entered the readDataset method of the Preprocessor class
2022-05-19/17:29:31		Reading data is a success
2022-05-19/17:29:31		Entered the readDataset method of the Preprocessor class
2022-05-19/17:29:31		Reading data is a success
2022-05-19/17:29:31		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:29:31		Finding missing values is a success
2022-05-19/17:29:31		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:29:31		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:29:31		Finding missing values is a success
2022-05-19/17:29:31		There are no null values, thus filling missing values is a success
2022-05-19/17:29:31		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:29:31		Finding outliers is a success
2022-05-19/17:29:31		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:29:31		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:29:31		Finding outliers is a success
2022-05-19/17:29:31		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:29:31		There are no outliers, thus replacing outliers is a success
2022-05-19/17:29:31		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:29:31		Creating New features is a success
2022-05-19/17:29:31		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:29:31		Creating New features is a success
2022-05-19/17:29:31		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:29:31		Entered the trainModel method of the Preprocessor class
2022-05-19/17:29:33		Training different models is a success
2022-05-19/17:29:33		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:29:33		Saving the best model
2022-05-19/17:29:33		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:41:42		Entered the readDataset method of the Preprocessor class
2022-05-19/17:41:42		Reading data is a success
2022-05-19/17:41:42		Entered the readDataset method of the Preprocessor class
2022-05-19/17:41:42		Reading data is a success
2022-05-19/17:41:42		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:41:42		Finding missing values is a success
2022-05-19/17:41:42		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:41:42		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:41:42		Finding missing values is a success
2022-05-19/17:41:42		There are no null values, thus filling missing values is a success
2022-05-19/17:41:42		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:41:42		Finding outliers is a success
2022-05-19/17:41:42		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:41:42		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:41:42		Finding outliers is a success
2022-05-19/17:41:42		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:41:42		There are no outliers, thus replacing outliers is a success
2022-05-19/17:41:42		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:41:42		Creating New features is a success
2022-05-19/17:41:42		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:41:42		Creating New features is a success
2022-05-19/17:41:42		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:41:42		Entered the trainModel method of the Preprocessor class
2022-05-19/17:41:43		Training different models is a success
2022-05-19/17:41:44		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:41:44		Saving the best model
2022-05-19/17:41:44		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:51:39		Entered the readDataset method of the Preprocessor class
2022-05-19/17:51:39		Reading data is a success
2022-05-19/17:51:40		Entered the readDataset method of the Preprocessor class
2022-05-19/17:51:40		Reading data is a success
2022-05-19/17:51:40		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:51:40		Finding missing values is a success
2022-05-19/17:51:40		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:51:40		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:51:40		Finding missing values is a success
2022-05-19/17:51:40		There are no null values, thus filling missing values is a success
2022-05-19/17:51:40		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:51:40		Finding outliers is a success
2022-05-19/17:51:40		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:51:40		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:51:40		Finding outliers is a success
2022-05-19/17:51:40		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:51:40		There are no outliers, thus replacing outliers is a success
2022-05-19/17:51:40		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:51:40		Creating New features is a success
2022-05-19/17:51:40		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:51:40		Creating New features is a success
2022-05-19/17:51:40		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:51:40		Entered the trainModel method of the Preprocessor class
2022-05-19/17:51:41		Training different models is a success
2022-05-19/17:51:42		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:51:42		Saving the best model
2022-05-19/17:51:42		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:53:51		Entered the readDataset method of the Preprocessor class
2022-05-19/17:53:51		Reading data is a success
2022-05-19/17:53:51		Entered the readDataset method of the Preprocessor class
2022-05-19/17:53:51		Reading data is a success
2022-05-19/17:53:51		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:53:51		Finding missing values is a success
2022-05-19/17:53:51		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:53:51		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:53:51		Finding missing values is a success
2022-05-19/17:53:51		There are no null values, thus filling missing values is a success
2022-05-19/17:53:51		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:53:51		Finding outliers is a success
2022-05-19/17:53:51		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:53:51		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:53:51		Finding outliers is a success
2022-05-19/17:53:51		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:53:51		There are no outliers, thus replacing outliers is a success
2022-05-19/17:53:51		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:53:52		Creating New features is a success
2022-05-19/17:53:52		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:53:52		Creating New features is a success
2022-05-19/17:53:52		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:53:52		Entered the trainModel method of the Preprocessor class
2022-05-19/17:53:53		Training different models is a success
2022-05-19/17:53:53		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:53:53		Saving the best model
2022-05-19/17:53:53		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:56:35		Entered the readDataset method of the Preprocessor class
2022-05-19/17:56:35		Reading data is a success
2022-05-19/17:56:35		Entered the readDataset method of the Preprocessor class
2022-05-19/17:56:35		Reading data is a success
2022-05-19/17:56:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:56:35		Finding missing values is a success
2022-05-19/17:56:35		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:56:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:56:35		Finding missing values is a success
2022-05-19/17:56:35		There are no null values, thus filling missing values is a success
2022-05-19/17:56:35		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:56:35		Finding outliers is a success
2022-05-19/17:56:35		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:56:35		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:56:35		Finding outliers is a success
2022-05-19/17:56:35		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:56:35		There are no outliers, thus replacing outliers is a success
2022-05-19/17:56:35		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:56:35		Creating New features is a success
2022-05-19/17:56:35		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:56:35		Creating New features is a success
2022-05-19/17:56:35		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:56:35		Entered the trainModel method of the Preprocessor class
2022-05-19/17:56:37		Training different models is a success
2022-05-19/17:56:37		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:56:37		Saving the best model
2022-05-19/17:56:37		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:58:19		Entered the readDataset method of the Preprocessor class
2022-05-19/17:58:19		Reading data is a success
2022-05-19/17:58:20		Entered the readDataset method of the Preprocessor class
2022-05-19/17:58:20		Reading data is a success
2022-05-19/17:58:20		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:58:20		Finding missing values is a success
2022-05-19/17:58:20		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:58:20		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:58:20		Finding missing values is a success
2022-05-19/17:58:20		There are no null values, thus filling missing values is a success
2022-05-19/17:58:20		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:58:20		Finding outliers is a success
2022-05-19/17:58:20		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:58:20		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:58:20		Finding outliers is a success
2022-05-19/17:58:20		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:58:20		There are no outliers, thus replacing outliers is a success
2022-05-19/17:58:20		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:58:20		Creating New features is a success
2022-05-19/17:58:20		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:58:20		Creating New features is a success
2022-05-19/17:58:20		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:58:20		Entered the trainModel method of the Preprocessor class
2022-05-19/17:58:21		Training different models is a success
2022-05-19/17:58:21		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:58:22		Saving the best model
2022-05-19/17:58:22		Entered the predictingTestData method of the Preprocessor class
2022-05-19/18:02:31		Entered the readDataset method of the Preprocessor class
2022-05-19/18:02:31		Reading data is a success
2022-05-19/18:02:31		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:02:31		Finding missing values is a success
2022-05-19/18:02:31		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/18:02:31		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:02:31		Finding missing values is a success
2022-05-19/18:02:31		There are no null values, thus filling missing values is a success
2022-05-19/18:02:31		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:02:31		Finding outliers is a success
2022-05-19/18:02:31		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/18:02:31		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:02:31		Finding outliers is a success
2022-05-19/18:02:31		Saving the plot of target data after replacing outliers is a success
2022-05-19/18:02:31		There are no outliers, thus replacing outliers is a success
2022-05-19/18:02:32		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:02:32		Creating New features is a success
2022-05-19/18:02:32		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/18:02:32		Entered the trainModel method of the Preprocessor class
2022-05-19/18:02:33		Training different models is a success
2022-05-19/18:02:33		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/18:02:33		Saving the best model
2022-05-19/18:02:33		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/18:02:33		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/18:03:27		Entered the readDataset method of the Preprocessor class
2022-05-19/18:03:27		Reading data is a success
2022-05-19/18:03:27		Entered the readDataset method of the Preprocessor class
2022-05-19/18:03:27		Reading data is a success
2022-05-19/18:03:27		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:03:27		Finding missing values is a success
2022-05-19/18:03:27		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/18:03:27		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:03:27		Finding missing values is a success
2022-05-19/18:03:27		There are no null values, thus filling missing values is a success
2022-05-19/18:03:27		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:03:27		Finding outliers is a success
2022-05-19/18:03:27		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/18:03:27		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:03:27		Finding outliers is a success
2022-05-19/18:03:27		Saving the plot of target data after replacing outliers is a success
2022-05-19/18:03:27		There are no outliers, thus replacing outliers is a success
2022-05-19/18:03:27		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:03:27		Creating New features is a success
2022-05-19/18:03:27		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:03:27		Creating New features is a success
2022-05-19/18:03:27		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/18:03:27		Entered the trainModel method of the Preprocessor class
2022-05-19/18:03:28		Training different models is a success
2022-05-19/18:03:29		Selecting the best parameters using hyperparameter tuning is a success
